cache_flooding.csv-30718;
-30718;87;
-30718;14;
-30718;74;
-30718;66;
-30718;80;
-30718;50;
-30718;41;
-30718;21;
-30718;17;
-30718;23;
-30718;19;
-30718;29;
-30718;29;
-30718;41;
-30718;34;
-30718;38;
-30718;50;
-30718;45;
-30718;37;
-30718;55;
-30718;35;
-30718;48;
-30718;43;
-30718;35;
-30718;41;
-30718;33;
-30718;45;
-30718;55;
-30718;43;
-30718;51;
-30718;63;
-30718;42;
-30718;42;
-30718;29;
-30718;42;
-30718;51;
-30718;34;
-30718;67;
-30718;49;
-30718;58;
-30718;64;
-30718;60;
-30718;45;
-30718;41;
-30718;61;
-30718;55;
-30718;42;
-30718;51;
-30718;55;
-30718;46;
-30718;46;
1000;60;
1000;55;
1000;56;
1000;60;
1000;58;
1000;54;
1000;61;
1000;49;
1000;63;
1000;63;
1000;63;
1000;65;
1000;68;
1000;59;
1000;63;
1000;66;
1000;65;
1000;68;
1000;65;
1000;75;
1000;60;
1000;66;
1000;65;
1000;53;
1000;60;
1000;71;
1000;62;
1000;41;
1000;64;
1000;69;
1000;62;
1000;68;
1000;62;
1000;65;
1000;56;
1000;67;
1000;61;
1000;72;
1000;67;
1000;68;
1000;73;
1000;69;
1000;54;
1000;79;
1000;60;
1000;75;
1000;72;
1000;60;
1000;68;
1000;63;
1000;63;
1000;76;
1000;74;
1000;76;
1000;67;
1000;60;
1000;72;
1000;70;
1000;74;
1000;70;
1000;68;
1000;74;
1000;79;
1000;82;
1000;73;
1000;73;
1000;65;
1000;70;
1000;73;
1000;56;
1000;75;
1000;62;
1000;65;
1000;67;
1000;62;
1000;54;
1000;60;
1000;74;
1000;53;
1000;74;
1000;74;
1000;49;
1000;66;
1000;70;
1000;77;
1000;67;
1000;77;
1000;69;
1000;68;
1000;69;
1000;70;
1000;78;
1000;77;
1000;65;
1000;76;
1000;48;
1000;72;
1000;78;
1000;75;
1000;81;
1000;82;
1000;82;
1000;50;
1000;73;
1000;49;
1000;74;
1000;70;
1000;62;
1000;68;
1000;71;
1000;72;
1000;50;
1000;64;
1000;66;
1000;72;
1000;78;
1000;84;
1000;65;
1000;77;
1000;71;
1000;82;
1000;63;
1000;74;
1000;79;
1000;84;
1000;74;
1000;71;
1000;59;
1000;74;
1000;64;
1000;66;
1000;74;
1000;78;
1000;64;
1000;76;
1000;76;
1000;74;
1000;76;
1000;76;
1000;61;
1000;81;
1000;74;
1000;80;
1000;73;
1000;73;
1000;82;
1000;83;
1000;74;
1000;74;
1000;79;
1000;81;
1000;79;
1000;79;
68;84;
68;73;
68;76;
68;78;
68;78;
68;68;
68;71;
68;71;
68;80;
68;83;
68;75;
68;78;
68;76;
68;77;
68;70;
68;79;
68;75;
68;73;
68;63;
68;71;
68;74;
68;70;
68;80;
68;71;
68;71;
68;78;
68;82;
68;82;
68;78;
68;80;
68;71;
68;79;
68;80;
68;84;
68;72;
68;82;
68;75;
68;81;
68;81;
68;78;
68;71;
68;79;
68;86;
68;80;
68;91;
68;74;
68;80;
68;74;
68;73;
68;72;
68;72;
72;75;
72;81;
72;82;
72;80;
72;80;
72;75;
72;68;
72;84;
72;84;
72;82;
72;68;
72;77;
72;73;
72;84;
72;83;
72;67;
72;68;
72;74;
72;69;
72;81;
72;87;
72;88;
72;80;
72;68;
72;71;
72;75;
72;81;
72;86;
72;87;
72;86;
72;83;
72;84;
72;67;
72;85;
72;87;
72;87;
72;81;
72;87;
72;72;
72;74;
72;85;
72;76;
72;85;
72;85;
72;72;
72;85;
72;77;
72;75;
72;80;
72;75;
72;75;
75;86;
75;87;
75;82;
75;86;
75;83;
75;74;
75;84;
75;89;
75;77;
75;82;
75;88;
75;84;
75;74;
75;73;
75;85;
75;89;
75;81;
75;88;
75;86;
75;83;
75;87;
75;83;
75;85;
75;77;
75;75;
75;80;
75;74;
75;71;
75;85;
75;81;
75;84;
75;86;
75;90;
75;87;
75;89;
75;88;
75;82;
75;74;
75;72;
75;76;
75;85;
75;88;
75;83;
75;86;
75;78;
75;81;
75;85;
75;74;
75;86;
75;75;
75;75;
79;85;
79;87;
79;86;
79;86;
79;85;
79;85;
79;88;
79;84;
79;89;
79;84;
79;88;
79;84;
79;87;
79;76;
79;84;
79;88;
79;89;
79;76;
79;83;
79;88;
79;84;
79;85;
79;88;
79;87;
79;83;
79;86;
79;81;
79;88;
79;79;
79;86;
79;88;
79;88;
79;84;
79;81;
79;88;
79;80;
79;77;
79;80;
79;88;
79;89;
79;86;
79;81;
79;85;
79;87;
79;88;
79;81;
79;89;
79;80;
79;86;
79;90;
79;90;
81;88;
81;87;
81;89;
81;83;
81;77;
81;88;
81;83;
81;80;
81;85;
81;85;
81;83;
81;86;
81;75;
81;90;
81;87;
81;87;
81;89;
81;90;
81;79;
81;89;
81;86;
81;88;
81;86;
81;83;
81;87;
81;80;
81;81;
81;88;
81;85;
81;88;
81;84;
81;83;
81;89;
81;78;
81;86;
81;87;
81;83;
81;77;
81;85;
81;83;
81;88;
81;86;
81;88;
81;91;
81;90;
81;86;
81;83;
81;85;
81;89;
81;88;
81;88;
84;87;
84;86;
84;86;
84;88;
84;87;
84;88;
84;89;
84;81;
84;86;
84;88;
84;88;
84;86;
84;90;
84;86;
84;82;
84;88;
84;81;
84;89;
84;88;
84;88;
84;87;
84;89;
84;88;
84;86;
84;88;
84;90;
84;86;
84;94;
84;88;
84;89;
84;87;
84;89;
84;84;
84;88;
84;88;
84;89;
84;84;
84;88;
84;90;
84;89;
84;89;
84;89;
84;86;
84;88;
84;85;
84;82;
84;87;
84;92;
84;89;
84;90;
84;90;
85;90;
85;89;
85;85;
85;94;
85;89;
85;90;
85;88;
85;84;
85;87;
85;89;
85;91;
85;92;
85;87;
85;89;
85;86;
85;94;
85;86;
85;89;
85;88;
85;89;
85;91;
85;91;
85;86;
85;87;
85;89;
85;89;
85;89;
85;87;
85;84;
85;92;
85;89;
85;90;
85;89;
85;88;
85;94;
85;92;
85;92;
85;86;
85;94;
85;87;
85;91;
85;93;
85;90;
85;85;
85;83;
85;90;
85;91;
85;93;
85;89;
85;93;
85;93;
87;92;
87;89;
87;93;
87;92;
87;93;
87;85;
87;93;
87;88;
87;92;
87;92;
87;87;
87;90;
87;91;
87;91;
87;88;
87;90;
87;88;
87;88;
87;87;
87;87;
87;93;
87;91;
87;93;
87;94;
87;92;
87;89;
87;90;
87;91;
87;88;
87;88;
87;91;
87;89;
87;88;
87;86;
87;91;
87;87;
87;87;
87;84;
87;89;
87;92;
87;91;
87;93;
87;88;
87;95;
87;91;
87;92;
87;89;
87;89;
87;94;
87;83;
87;83;
88;92;
88;92;
88;92;
88;88;
88;89;
88;92;
88;91;
88;88;
88;84;
88;94;
88;92;
88;89;
88;90;
88;91;
88;90;
88;89;
88;93;
88;93;
88;94;
88;94;
88;88;
88;92;
88;90;
88;92;
88;93;
88;85;
88;85;
88;92;
88;93;
88;85;
88;92;
88;89;
88;89;
88;92;
88;90;
88;91;
88;89;
88;90;
88;92;
88;92;
88;92;
88;87;
88;90;
88;90;
88;92;
88;92;
88;88;
88;91;
88;92;
88;94;
88;94;
89;95;
89;92;
89;91;
89;93;
89;89;
89;91;
89;90;
89;93;
89;92;
89;93;
89;90;
89;92;
89;85;
89;85;
89;86;
89;92;
89;91;
89;87;
89;93;
89;92;
89;85;
89;89;
89;93;
89;90;
89;90;
89;95;
89;90;
89;89;
89;90;
89;93;
89;92;
89;92;
89;88;
89;85;
89;93;
89;92;
89;93;
89;89;
89;93;
89;93;
89;89;
89;86;
89;92;
89;91;
89;87;
89;92;
89;88;
89;92;
89;89;
89;92;
89;92;
90;89;
90;87;
90;94;
90;91;
90;94;
90;92;
90;87;
90;93;
90;89;
90;91;
90;90;
90;91;
90;89;
90;92;
90;91;
90;87;
90;91;
90;92;
90;84;
90;92;
90;89;
90;86;
90;87;
90;91;
90;92;
90;84;
90;93;
90;90;
90;84;
90;88;
90;93;
90;90;
90;90;
90;91;
90;93;
90;91;
90;83;
90;85;
90;87;
90;92;
90;91;
90;93;
90;94;
90;92;
90;92;
90;90;
90;90;
90;88;
90;90;
90;93;
90;93;
90;92;
90;88;
90;93;
90;88;
90;93;
90;93;
90;90;
90;92;
90;93;
90;88;
90;93;
90;89;
90;89;
90;91;
90;87;
90;93;
90;91;
90;93;
90;86;
90;89;
90;89;
90;89;
90;92;
90;92;
90;91;
90;89;
90;89;
90;92;
90;88;
90;93;
90;88;
90;91;
90;91;
90;92;
90;92;
90;93;
90;92;
90;93;
90;94;
90;92;
90;93;
90;93;
90;86;
90;92;
90;92;
90;91;
90;92;
90;92;
90;89;
90;89;
90;89;
90;93;
90;92;
90;90;
90;89;
90;92;
90;88;
90;93;
90;92;
90;91;
90;92;
90;89;
90;91;
90;91;
90;89;
90;91;
90;92;
90;93;
90;93;
90;92;
90;90;
90;89;
90;93;
90;91;
90;92;
90;89;
90;91;
90;91;
90;90;
90;90;
90;88;
90;92;
90;88;
90;89;
90;89;
90;91;
90;94;
90;93;
90;92;
90;92;
90;92;
90;91;
90;91;
90;92;
90;95;
90;88;
90;93;
90;95;
90;93;
90;93;
90;92;
90;92;
90;94;
90;91;
90;95;
90;95;
90;94;
90;94;
90;93;
90;95;
90;91;
90;92;
90;93;
90;91;
90;90;
90;94;
90;93;
90;93;
90;89;
90;94;
90;93;
90;93;
90;92;
90;94;
90;90;
90;93;
90;93;
90;93;
90;93;
90;94;
90;92;
90;94;
90;91;
90;90;
90;73;
90;92;
90;91;
90;90;
90;94;
90;93;
90;93;
90;92;
90;92;
90;95;
90;86;
90;91;
90;91;
90;89;
90;93;
90;94;
90;90;
90;90;
90;90;
91;93;
91;91;
91;94;
91;92;
91;92;
91;94;
91;89;
91;94;
91;91;
91;91;
91;89;
91;93;
91;94;
91;94;
91;91;
91;94;
91;93;
91;95;
91;95;
91;94;
91;95;
91;94;
91;95;
91;94;
91;95;
91;93;
91;91;
91;93;
91;94;
91;90;
91;95;
91;94;
91;94;
91;94;
91;95;
91;95;
91;96;
91;90;
91;90;
91;91;
91;94;
91;95;
91;90;
91;93;
91;94;
91;96;
91;92;
91;90;
91;95;
91;92;
91;92;
92;91;
92;96;
92;90;
92;96;
92;92;
92;96;
92;95;
92;93;
92;92;
92;96;
92;96;
92;94;
92;96;
92;94;
92;96;
92;97;
92;95;
92;96;
92;93;
92;96;
92;95;
92;91;
92;95;
92;95;
92;93;
92;94;
92;92;
92;93;
92;94;
92;96;
92;96;
92;94;
92;93;
92;95;
92;97;
92;93;
92;91;
92;95;
92;96;
92;91;
92;90;
92;96;
92;96;
92;97;
92;94;
92;96;
92;94;
92;91;
92;96;
92;89;
92;89;
93;94;
93;91;
93;96;
93;95;
93;98;
93;95;
93;94;
93;91;
93;90;
93;95;
93;93;
93;94;
93;96;
93;96;
93;97;
93;95;
93;96;
93;96;
93;92;
93;93;
93;94;
93;90;
93;91;
93;91;
93;95;
93;95;
93;96;
93;92;
93;94;
93;91;
93;97;
93;97;
93;95;
93;94;
93;93;
93;92;
93;92;
93;95;
93;96;
93;96;
93;97;
93;91;
93;93;
93;96;
93;94;
93;96;
93;92;
93;97;
93;91;
93;93;
93;93;
93;92;
93;96;
93;94;
93;94;
93;96;
93;91;
93;93;
93;95;
93;96;
93;91;
93;97;
93;96;
93;96;
93;91;
93;92;
93;96;
93;94;
93;94;
93;95;
93;92;
93;92;
93;93;
93;90;
93;94;
93;95;
93;97;
93;95;
93;95;
93;95;
93;93;
93;96;
93;93;
93;96;
93;93;
93;94;
93;97;
93;92;
93;96;
93;93;
93;95;
93;91;
93;96;
93;94;
93;94;
93;93;
93;96;
93;93;
93;93;
93;93;
93;91;
93;91;
94;95;
94;95;
94;95;
94;96;
94;93;
94;97;
94;93;
94;94;
94;96;
94;96;
94;95;
94;95;
94;93;
94;96;
94;94;
94;96;
94;95;
94;92;
94;95;
94;95;
94;97;
94;96;
94;94;
94;96;
94;95;
94;94;
94;95;
94;95;
94;95;
94;94;
94;96;
94;93;
94;96;
94;96;
94;95;
94;94;
94;94;
94;94;
94;95;
94;94;
94;94;
94;97;
94;95;
94;96;
94;96;
94;94;
94;96;
94;95;
94;97;
94;94;
94;94;
94;96;
94;95;
94;92;
94;93;
94;97;
94;96;
94;92;
94;94;
94;92;
94;95;
94;95;
94;96;
94;96;
94;93;
94;95;
94;93;
94;96;
94;97;
94;93;
94;93;
94;90;
94;96;
94;94;
94;97;
94;91;
94;94;
94;96;
94;94;
94;92;
94;94;
94;92;
94;96;
94;96;
94;95;
94;96;
94;92;
94;95;
94;93;
94;95;
94;95;
94;91;
94;94;
94;93;
94;92;
94;94;
94;97;
94;94;
94;95;
94;95;
94;92;
94;92;
94;97;
94;94;
94;93;
94;90;
94;93;
94;94;
94;91;
94;95;
94;92;
94;96;
94;93;
94;96;
94;92;
94;96;
94;96;
94;94;
94;95;
94;92;
94;96;
94;95;
94;97;
94;96;
94;97;
94;94;
94;95;
94;93;
94;95;
94;93;
94;96;
94;92;
94;96;
94;94;
94;96;
94;97;
94;96;
94;95;
94;96;
94;96;
94;93;
94;92;
94;97;
94;95;
94;97;
94;94;
94;97;
94;95;
94;97;
94;94;
94;98;
94;96;
94;96;
94;93;
94;96;
94;96;
94;97;
94;93;
94;97;
94;94;
94;93;
94;94;
94;97;
94;97;
94;94;
94;77;
94;97;
94;97;
94;97;
94;94;
94;95;
94;97;
94;94;
94;94;
94;97;
94;94;
94;97;
94;95;
94;95;
94;96;
94;93;
94;95;
94;94;
94;96;
94;97;
94;94;
94;96;
94;94;
94;95;
94;97;
94;95;
94;96;
94;97;
94;96;
94;97;
94;97;
94;95;
94;97;
94;97;
94;95;
94;93;
94;97;
94;97;
94;97;
94;95;
94;95;
94;97;
94;97;
94;96;
94;96;
94;97;
94;97;
94;95;
94;97;
94;97;
94;97;
94;95;
94;95;
94;96;
94;95;
94;94;
94;98;
94;95;
94;95;
94;94;
94;95;
94;96;
94;96;
94;95;
94;96;
94;97;
94;96;
94;96;
94;95;
94;96;
94;97;
94;95;
94;95;
94;94;
94;94;
94;95;
94;97;
94;94;
94;94;
94;97;
94;96;
94;96;
94;96;
94;93;
94;93;
94;94;
94;95;
94;94;
94;94;
94;94;
95;97;
95;94;
95;96;
95;95;
95;96;
95;95;
95;95;
95;95;
95;97;
95;96;
95;94;
95;93;
95;95;
95;95;
95;94;
95;96;
95;96;
95;95;
95;96;
95;95;
95;96;
95;94;
95;96;
95;97;
95;98;
95;95;
95;94;
95;95;
95;95;
95;97;
95;95;
95;94;
95;96;
95;97;
95;97;
95;94;
95;94;
95;94;
95;95;
95;96;
95;93;
95;95;
95;95;
95;95;
95;95;
95;97;
95;96;
95;96;
95;95;
95;97;
95;97;
95;94;
95;94;
95;94;
95;95;
95;94;
95;98;
95;97;
95;93;
95;96;
95;97;
95;94;
95;94;
95;95;
95;95;
95;95;
95;95;
95;96;
95;96;
95;95;
95;96;
95;94;
95;95;
95;97;
95;95;
95;94;
95;97;
95;96;
95;95;
95;95;
95;94;
95;95;
95;95;
95;96;
95;95;
95;97;
95;95;
95;96;
95;94;
95;95;
95;95;
95;97;
95;96;
95;97;
95;97;
95;93;
95;97;
95;95;
95;95;
95;95;
95;96;
95;96;
95;95;
95;97;
95;96;
95;95;
95;95;
95;95;
95;97;
95;97;
95;97;
95;95;
95;96;
95;95;
95;94;
95;95;
95;95;
95;93;
95;95;
95;96;
95;97;
95;94;
95;96;
95;95;
95;95;
95;96;
95;96;
95;95;
95;95;
95;96;
95;96;
95;96;
95;94;
95;96;
95;95;
95;92;
95;93;
95;95;
95;97;
95;95;
95;96;
95;96;
95;95;
95;96;
95;94;
95;97;
95;95;
95;97;
95;97;
95;96;
95;95;
95;95;
95;95;
95;96;
95;97;
95;96;
95;95;
95;97;
95;96;
95;97;
95;97;
95;97;
95;96;
95;94;
95;95;
95;96;
95;97;
95;94;
95;96;
95;97;
95;97;
95;98;
95;96;
95;97;
95;96;
95;97;
95;97;
95;96;
95;97;
95;97;
95;95;
95;96;
95;97;
95;97;
95;97;
95;97;
95;97;
95;95;
95;97;
95;95;
95;96;
95;96;
95;94;
95;97;
95;96;
95;97;
95;96;
95;96;
95;96;
95;96;
95;96;
95;96;
95;96;
95;96;
95;97;
95;96;
95;95;
95;96;
95;96;
95;96;
95;95;
95;96;
95;93;
95;97;
95;96;
95;96;
95;96;
95;95;
95;96;
95;95;
95;97;
95;95;
95;97;
95;94;
95;97;
95;94;
95;95;
95;95;
95;96;
95;96;
95;97;
95;95;
95;97;
95;96;
95;96;
95;98;
95;97;
95;98;
95;97;
95;97;
95;95;
95;98;
95;95;
95;97;
95;97;
95;96;
95;94;
95;97;
95;95;
95;96;
95;95;
95;94;
95;97;
95;96;
95;96;
95;96;
95;96;
95;97;
95;96;
95;96;
95;95;
95;98;
95;97;
95;96;
95;97;
95;93;
95;96;
95;97;
95;95;
95;96;
95;96;
95;96;
95;97;
95;96;
95;97;
95;96;
95;96;
95;96;
95;95;
95;95;
95;95;
95;96;
95;96;
95;94;
95;97;
95;97;
95;94;
95;97;
95;96;
95;96;
95;94;
95;95;
95;95;
95;96;
95;95;
95;97;
95;95;
95;97;
95;96;
95;95;
95;96;
95;97;
95;95;
95;96;
95;96;
95;96;
96;97;
96;95;
96;96;
96;96;
96;94;
96;96;
96;97;
96;96;
96;95;
96;96;
96;97;
96;97;
96;96;
96;96;
96;96;
96;96;
96;96;
96;96;
96;97;
96;95;
96;93;
96;96;
96;95;
96;96;
96;96;
96;95;
96;96;
96;97;
96;96;
96;97;
96;96;
96;96;
96;97;
96;96;
96;96;
96;96;
96;96;
96;96;
96;94;
96;96;
96;96;
96;96;
96;96;
96;96;
96;96;
96;94;
96;96;
96;95;
96;96;
96;97;
96;97;
95;97;
95;96;
95;96;
95;95;
95;96;
95;95;
95;94;
95;94;
95;96;
95;96;
95;95;
95;96;
95;95;
95;95;
95;97;
95;96;
95;96;
95;97;
95;92;
95;96;
95;97;
95;96;
95;96;
95;97;
95;97;
95;97;
95;96;
95;97;
95;96;
95;97;
95;97;
95;97;
95;97;
95;95;
95;97;
95;96;
95;97;
95;97;
95;97;
95;96;
95;97;
95;97;
95;96;
95;97;
95;96;
95;96;
95;94;
95;97;
95;96;
95;97;
95;97;
95;95;
95;95;
95;95;
95;96;
95;97;
95;97;
95;97;
95;97;
95;96;
95;97;
95;97;
95;97;
95;97;
95;97;
95;95;
95;97;
95;96;
95;97;
95;96;
95;97;
95;96;
95;78;
95;96;
95;97;
95;96;
95;96;
95;96;
95;98;
95;97;
95;97;
95;98;
95;95;
95;96;
95;96;
95;96;
95;96;
95;96;
95;97;
95;96;
95;96;
95;96;
95;96;
95;96;
95;96;
95;97;
95;97;
95;96;
95;95;
95;97;
95;96;
95;96;
95;97;
95;97;
95;97;
95;96;
95;96;
95;98;
95;96;
95;97;
95;97;
95;97;
95;95;
95;96;
95;97;
95;95;
95;94;
95;97;
95;96;
95;97;
95;96;
95;96;
95;97;
95;96;
95;96;
95;97;
95;95;
95;97;
95;96;
95;96;
95;96;
95;97;
95;97;
95;97;
95;94;
95;94;
95;95;
95;96;
95;97;
95;97;
95;97;
95;94;
95;96;
95;97;
95;97;
95;96;
95;96;
95;96;
95;96;
95;97;
95;97;
95;94;
95;94;
96;97;
96;95;
96;96;
96;95;
96;97;
96;97;
96;96;
96;97;
96;97;
96;97;
96;96;
96;96;
96;96;
96;97;
96;97;
96;96;
96;97;
96;98;
96;97;
96;96;
96;97;
96;98;
96;98;
96;97;
96;97;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;96;
96;98;
96;97;
96;97;
96;98;
96;98;
96;97;
96;97;
96;94;
96;97;
96;97;
96;97;
96;98;
96;97;
96;97;
96;96;
96;97;
96;98;
96;96;
96;96;
96;98;
96;97;
96;96;
96;96;
96;96;
96;97;
96;97;
96;97;
96;97;
96;97;
96;96;
96;97;
96;96;
96;96;
96;95;
96;96;
96;97;
96;96;
96;95;
96;97;
96;95;
96;96;
96;97;
96;97;
96;97;
96;96;
96;95;
96;95;
96;96;
96;96;
96;98;
96;96;
96;97;
96;95;
96;96;
96;96;
96;97;
96;96;
96;97;
96;96;
96;97;
96;96;
96;96;
96;97;
96;95;
96;96;
96;93;
96;97;
96;95;
96;96;
96;96;
96;97;
96;97;
96;97;
96;97;
96;97;
96;96;
96;97;
96;97;
96;96;
96;97;
96;97;
96;97;
96;97;
96;96;
96;97;
96;97;
96;96;
96;97;
96;97;
96;96;
96;97;
96;96;
96;97;
96;97;
96;96;
96;96;
96;97;
96;97;
96;97;
96;97;
96;95;
96;96;
96;98;
96;97;
96;96;
96;95;
96;97;
96;97;
96;97;
96;98;
96;97;
96;97;
96;96;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;95;
96;95;
96;97;
96;96;
96;96;
96;96;
96;97;
96;96;
96;97;
96;97;
96;97;
96;96;
96;95;
96;97;
96;97;
96;97;
96;96;
96;97;
96;97;
96;95;
96;94;
96;97;
96;96;
96;98;
96;96;
96;96;
96;94;
96;97;
96;96;
96;96;
96;97;
96;95;
96;96;
96;96;
96;95;
96;97;
96;95;
96;97;
96;97;
96;96;
96;97;
96;97;
96;97;
96;97;
96;97;
96;96;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;98;
96;98;
96;98;
96;97;
96;96;
96;96;
96;98;
96;97;
96;98;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;98;
96;97;
96;96;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;97;
96;97;
96;95;
96;98;
96;97;
96;98;
96;96;
96;97;
96;97;
96;97;
96;98;
96;97;
96;98;
96;98;
96;97;
96;98;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;96;
96;97;
96;98;
96;97;
96;98;
96;98;
96;97;
96;98;
96;98;
96;97;
96;97;
96;97;
96;97;
96;97;
96;97;
96;98;
96;98;
96;98;
96;98;
96;97;
96;98;
96;97;
96;98;
96;98;
96;96;
96;98;
96;98;
96;97;
96;97;
96;98;
96;97;
96;97;
96;97;
96;97;
96;98;
96;98;
96;98;
96;98;
96;98;
96;97;
96;98;
96;98;
96;97;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;97;
96;98;
96;97;
96;97;
96;98;
96;98;
96;97;
96;98;
96;97;
96;98;
96;97;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;98;
96;97;
96;98;
96;96;
96;98;
96;97;
96;97;
96;97;
96;98;
96;98;
96;97;
96;97;
96;98;
96;98;
96;98;
96;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;97;
97;97;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;97;
97;97;
97;97;
97;91;
97;97;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;98;
97;97;
97;98;
97;98;
97;97;
97;97;
97;98;
97;97;
97;97;
97;98;
97;97;
97;97;
97;97;
97;97;
97;97;
97;98;
97;98;
97;97;
97;98;
97;97;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;97;
97;98;
97;97;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;96;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;99;
97;97;
97;97;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;96;
97;97;
97;97;
97;98;
97;98;
97;98;
97;99;
97;98;
97;99;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;97;
97;98;
97;98;
97;98;
97;98;
97;98;
97;99;
97;98;
97;98;
97;98;
97;98;
97;99;
97;99;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
97;98;
98;98;
98;98;
98;99;
98;99;
98;98;
98;99;
98;98;
98;99;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;99;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;98;
98;96;
98;98;
98;99;
98;98;
98;99;
98;98;
98;98;
98;98;
98;99;
98;98;
98;98;
98;99;
98;98;
98;99;
98;98;
98;98;
98;99;
98;98;
98;99;
98;99;
98;98;
98;99;
98;99;
98;98;
98;98;
98;98;
98;96;
98;98;
98;97;
98;99;
98;98;
98;98;
98;97;
98;99;
98;98;
98;97;
98;98;
98;98;
98;98;
98;98;
98;98;
98;99;
98;98;
98;99;
98;98;
98;98;
98;98;
98;98;
98;99;
98;99;
98;98;
98;99;
98;98;
98;98;
98;98;
98;98;
98;99;
98;98;
98;98;
98;98;
98;98;
98;99;
98;98;
98;99;
98;98;
98;99;
98;99;
98;98;
98;98;
98;99;
98;98;
98;98;
98;99;
98;98;
98;99;
98;98;
98;77;
98;90;
98;90;
98;77;
98;69;
98;44;
98;69;
98;81;
98;63;
98;65;
98;